repoName,granularity,clone_type,language,project_type,locc,total_sloc,LOCC / total SLOC,LOCC_total_SLOC
AspectCore-Framework,Block,type 1,csharp,Traditional,497,17316,0.028701778701778702,0.028701778701778702
AspectCore-Framework,Block,type 2,csharp,Traditional,1176,17316,0.06791406791406791,0.06791406791406791
AspectCore-Framework,Block,type 3,csharp,Traditional,2811,17316,0.16233541233541235,0.16233541233541235
AspectCore-Framework,Function,type 1,csharp,Traditional,134,17316,0.007738507738507739,0.007738507738507739
AspectCore-Framework,Function,type 2,csharp,Traditional,939,17316,0.05422730422730423,0.05422730422730423
AspectCore-Framework,Function,type 3,csharp,Traditional,2084,17316,0.12035112035112035,0.12035112035112035
Avalonia,Block,type 1,csharp,Traditional,4000,245432,0.01629779327879005,0.01629779327879005
Avalonia,Block,type 2,csharp,Traditional,12869,245432,0.0524340754261873,0.0524340754261873
Avalonia,Block,type 3,csharp,Traditional,46245,245432,0.18842286254441148,0.18842286254441148
Avalonia,Function,type 1,csharp,Traditional,1874,245432,0.0076355161511131395,0.0076355161511131395
Avalonia,Function,type 2,csharp,Traditional,8725,245432,0.035549561589360804,0.035549561589360804
Avalonia,Function,type 3,csharp,Traditional,32112,245432,0.13083868444212654,0.13083868444212654
CeNiN,Block,type 1,csharp,Deep Learning,62,1438,0.043115438108484005,0.043115438108484005
CeNiN,Block,type 2,csharp,Deep Learning,10,1438,0.006954102920723227,0.006954102920723227
CeNiN,Block,type 3,csharp,Deep Learning,266,1438,0.18497913769123783,0.18497913769123783
CeNiN,Function,type 1,csharp,Deep Learning,28,1438,0.019471488178025034,0.019471488178025034
CeNiN,Function,type 3,csharp,Deep Learning,236,1438,0.16411682892906815,0.16411682892906815
ConvNetSharp,Block,type 1,csharp,Deep Learning,2042,16620,0.12286401925391095,0.12286401925391095
ConvNetSharp,Block,type 2,csharp,Deep Learning,1104,16620,0.0664259927797834,0.0664259927797834
ConvNetSharp,Block,type 3,csharp,Deep Learning,6419,16620,0.3862214199759326,0.3862214199759326
ConvNetSharp,Function,type 1,csharp,Deep Learning,874,16620,0.05258724428399519,0.05258724428399519
ConvNetSharp,Function,type 2,csharp,Deep Learning,936,16620,0.05631768953068592,0.05631768953068592
ConvNetSharp,Function,type 3,csharp,Deep Learning,5494,16620,0.3305655836341757,0.3305655836341757
Dapper,Block,type 1,csharp,Traditional,171,18031,0.009483667017913594,0.009483667017913594
Dapper,Block,type 2,csharp,Traditional,387,18031,0.02146303588264655,0.02146303588264655
Dapper,Block,type 3,csharp,Traditional,1320,18031,0.07320725417336808,0.07320725417336808
Dapper,Function,type 1,csharp,Traditional,38,18031,0.002107481559536354,0.002107481559536354
Dapper,Function,type 2,csharp,Traditional,186,18031,0.010315567633520048,0.010315567633520048
Dapper,Function,type 3,csharp,Traditional,941,18031,0.05218789861904498,0.05218789861904498
DeepDriver,Block,type 1,java,Deep Learning,5790,32265,0.1794514179451418,0.1794514179451418
DeepDriver,Block,type 2,java,Deep Learning,2891,32265,0.08960173562684023,0.08960173562684023
DeepDriver,Block,type 3,java,Deep Learning,10435,32265,0.3234154656748799,0.3234154656748799
DeepDriver,Function,type 1,java,Deep Learning,3510,32265,0.1087866108786611,0.1087866108786611
DeepDriver,Function,type 2,java,Deep Learning,1630,32265,0.05051913838524717,0.05051913838524717
DeepDriver,Function,type 3,java,Deep Learning,6446,32265,0.19978304664497132,0.19978304664497132
EntityFramework.Extended,Block,type 1,csharp,Traditional,4624,13096,0.35308491142333537,0.35308491142333537
EntityFramework.Extended,Block,type 2,csharp,Traditional,2090,13096,0.15959071472205252,0.15959071472205252
EntityFramework.Extended,Block,type 3,csharp,Traditional,4860,13096,0.3711056811240073,0.3711056811240073
EntityFramework.Extended,Function,type 1,csharp,Traditional,3730,13096,0.28481979230299326,0.28481979230299326
EntityFramework.Extended,Function,type 2,csharp,Traditional,1962,13096,0.1498167379352474,0.1498167379352474
EntityFramework.Extended,Function,type 3,csharp,Traditional,4691,13096,0.3582009773976787,0.3582009773976787
FaceONNX,Block,type 1,csharp,Deep Learning,2502,2263,1.105612019443217,1.105612019443217
FaceONNX,Block,type 2,csharp,Deep Learning,52,2263,0.022978347326557666,0.022978347326557666
FaceONNX,Block,type 3,csharp,Deep Learning,1720,2263,0.760053026955369,0.760053026955369
FaceONNX,Function,type 1,csharp,Deep Learning,2324,2263,1.026955368979231,1.026955368979231
FaceONNX,Function,type 3,csharp,Deep Learning,1700,2263,0.7512152010605391,0.7512152010605391
KelpNet,Block,type 1,csharp,Deep Learning,690,21045,0.03278688524590164,0.03278688524590164
KelpNet,Block,type 2,csharp,Deep Learning,1627,21045,0.07731052506533619,0.07731052506533619
KelpNet,Block,type 3,csharp,Deep Learning,4072,21045,0.19349014017581373,0.19349014017581373
KelpNet,Function,type 1,csharp,Deep Learning,328,21045,0.015585649798051793,0.015585649798051793
KelpNet,Function,type 2,csharp,Deep Learning,1120,21045,0.05321929199334759,0.05321929199334759
KelpNet,Function,type 3,csharp,Deep Learning,2109,21045,0.10021382751247328,0.10021382751247328
Keras.NET,Block,type 1,csharp,Deep Learning,168,5454,0.030803080308030802,0.030803080308030802
Keras.NET,Block,type 2,csharp,Deep Learning,561,5454,0.10286028602860287,0.10286028602860287
Keras.NET,Block,type 3,csharp,Deep Learning,1594,5454,0.29226255958929226,0.29226255958929226
Keras.NET,Function,type 2,csharp,Deep Learning,34,5454,0.0062339567290062336,0.0062339567290062336
Keras.NET,Function,type 3,csharp,Deep Learning,614,5454,0.11257792445911258,0.11257792445911258
LockstepFramework,Block,type 1,csharp,Traditional,272,24733,0.010997452795859782,0.010997452795859782
LockstepFramework,Block,type 2,csharp,Traditional,962,24733,0.038895402903004084,0.038895402903004084
LockstepFramework,Block,type 3,csharp,Traditional,2392,24733,0.0967128937047669,0.0967128937047669
LockstepFramework,Function,type 1,csharp,Traditional,76,24733,0.0030728176929608214,0.0030728176929608214
LockstepFramework,Function,type 2,csharp,Traditional,347,24733,0.014029838677071119,0.014029838677071119
LockstepFramework,Function,type 3,csharp,Traditional,754,24733,0.030485586059111308,0.030485586059111308
MPAndroidChart,Block,type 1,java,Traditional,1969,25232,0.07803582752060875,0.07803582752060875
MPAndroidChart,Block,type 2,java,Traditional,2590,25232,0.10264743183259353,0.10264743183259353
MPAndroidChart,Block,type 3,java,Traditional,7507,25232,0.29751902346227016,0.29751902346227016
MPAndroidChart,Function,type 1,java,Traditional,390,25232,0.015456563094483195,0.015456563094483195
MPAndroidChart,Function,type 2,java,Traditional,818,25232,0.03241915028535194,0.03241915028535194
MPAndroidChart,Function,type 3,java,Traditional,5237,25232,0.20755389980976538,0.20755389980976538
MassTransit,Block,type 1,csharp,Traditional,18685,226522,0.08248646930540963,0.08248646930540963
MassTransit,Block,type 2,csharp,Traditional,17799,226522,0.0785751494336091,0.0785751494336091
MassTransit,Block,type 3,csharp,Traditional,48654,226522,0.214787084698175,0.214787084698175
MassTransit,Function,type 1,csharp,Traditional,9100,226522,0.04017269845754496,0.04017269845754496
MassTransit,Function,type 2,csharp,Traditional,15720,226522,0.0693972329398469,0.0693972329398469
MassTransit,Function,type 3,csharp,Traditional,34066,226522,0.1503871588631568,0.1503871588631568
MyCaffe,Block,type 1,csharp,Deep Learning,14181,180353,0.07862913286721042,0.07862913286721042
MyCaffe,Block,type 2,csharp,Deep Learning,36305,180353,0.2012996734182409,0.2012996734182409
MyCaffe,Block,type 3,csharp,Deep Learning,72206,180353,0.4003592953818345,0.4003592953818345
MyCaffe,Function,type 1,csharp,Deep Learning,4805,180353,0.026642196137574646,0.026642196137574646
MyCaffe,Function,type 2,csharp,Deep Learning,27407,180353,0.1519630945978165,0.1519630945978165
MyCaffe,Function,type 3,csharp,Deep Learning,52668,180353,0.292027302013274,0.292027302013274
NeuralNetwork.NET,Block,type 1,csharp,Deep Learning,239,12201,0.019588558314892222,0.019588558314892222
NeuralNetwork.NET,Block,type 2,csharp,Deep Learning,398,12201,0.03262027702647324,0.03262027702647324
NeuralNetwork.NET,Block,type 3,csharp,Deep Learning,2151,12201,0.17629702483403,0.17629702483403
NeuralNetwork.NET,Function,type 1,csharp,Deep Learning,52,12201,0.004261945742152283,0.004261945742152283
NeuralNetwork.NET,Function,type 2,csharp,Deep Learning,137,12201,0.011228587820670436,0.011228587820670436
NeuralNetwork.NET,Function,type 3,csharp,Deep Learning,1288,12201,0.10556511761331039,0.10556511761331039
Pomelo.EntityFrameworkCore.MySql,Block,type 1,csharp,Traditional,1329,44115,0.030125807548452906,0.030125807548452906
Pomelo.EntityFrameworkCore.MySql,Block,type 2,csharp,Traditional,2985,44115,0.06766405984359061,0.06766405984359061
Pomelo.EntityFrameworkCore.MySql,Block,type 3,csharp,Traditional,7116,44115,0.16130567834070045,0.16130567834070045
Pomelo.EntityFrameworkCore.MySql,Function,type 1,csharp,Traditional,787,44115,0.01783973705088972,0.01783973705088972
Pomelo.EntityFrameworkCore.MySql,Function,type 2,csharp,Traditional,3114,44115,0.07058823529411765,0.07058823529411765
Pomelo.EntityFrameworkCore.MySql,Function,type 3,csharp,Traditional,6348,44115,0.1438966337980279,0.1438966337980279
PowerShell,Block,type 1,csharp,Traditional,8834,508504,0.01737252804304391,0.01737252804304391
PowerShell,Block,type 2,csharp,Traditional,24114,508504,0.04742145587841984,0.04742145587841984
PowerShell,Block,type 3,csharp,Traditional,70033,508504,0.1377235970611834,0.1377235970611834
PowerShell,Function,type 1,csharp,Traditional,1917,508504,0.003769881849503642,0.003769881849503642
PowerShell,Function,type 2,csharp,Traditional,11239,508504,0.022102087692525526,0.022102087692525526
PowerShell,Function,type 3,csharp,Traditional,28722,508504,0.05648333149788399,0.05648333149788399
RNNSharp,Block,type 1,csharp,Deep Learning,273,6316,0.04322355921469284,0.04322355921469284
RNNSharp,Block,type 2,csharp,Deep Learning,485,6316,0.07678910702976567,0.07678910702976567
RNNSharp,Block,type 3,csharp,Deep Learning,1249,6316,0.19775174160861306,0.19775174160861306
RNNSharp,Function,type 1,csharp,Deep Learning,34,6316,0.005383153894870171,0.005383153894870171
RNNSharp,Function,type 2,csharp,Deep Learning,138,6316,0.021849271690943636,0.021849271690943636
RNNSharp,Function,type 3,csharp,Deep Learning,383,6316,0.06063964534515516,0.06063964534515516
SANNet,Block,type 1,java,Deep Learning,681,16172,0.04210981944100915,0.04210981944100915
SANNet,Block,type 2,java,Deep Learning,1072,16172,0.06628741033885728,0.06628741033885728
SANNet,Block,type 3,java,Deep Learning,2876,16172,0.1778382389314865,0.1778382389314865
SANNet,Function,type 1,java,Deep Learning,319,16172,0.019725451397477122,0.019725451397477122
SANNet,Function,type 2,java,Deep Learning,1035,16172,0.06399950531783329,0.06399950531783329
SANNet,Function,type 3,java,Deep Learning,1911,16172,0.11816720257234727,0.11816720257234727
ScreenToGif,Block,type 1,csharp,Traditional,5243,63092,0.0831008685728777,0.0831008685728777
ScreenToGif,Block,type 2,csharp,Traditional,3372,63092,0.05344576174475369,0.05344576174475369
ScreenToGif,Block,type 3,csharp,Traditional,16371,63092,0.2594782222785773,0.2594782222785773
ScreenToGif,Function,type 1,csharp,Traditional,2194,63092,0.03477461484815825,0.03477461484815825
ScreenToGif,Function,type 2,csharp,Traditional,1561,63092,0.024741647118493627,0.024741647118493627
ScreenToGif,Function,type 3,csharp,Traditional,9832,63092,0.1558359221454384,0.1558359221454384
Seq2SeqSharp,Block,type 1,csharp,Deep Learning,708,18088,0.03914197257850509,0.03914197257850509
Seq2SeqSharp,Block,type 2,csharp,Deep Learning,1325,18088,0.07325298540468819,0.07325298540468819
Seq2SeqSharp,Block,type 3,csharp,Deep Learning,4964,18088,0.2744360902255639,0.2744360902255639
Seq2SeqSharp,Function,type 1,csharp,Deep Learning,148,18088,0.008182220256523662,0.008182220256523662
Seq2SeqSharp,Function,type 2,csharp,Deep Learning,580,18088,0.03206545776205219,0.03206545776205219
Seq2SeqSharp,Function,type 3,csharp,Deep Learning,2914,18088,0.16110128261831047,0.16110128261831047
ShareX,Block,type 1,csharp,Traditional,1972,112019,0.017604156437747168,0.017604156437747168
ShareX,Block,type 2,csharp,Traditional,5440,112019,0.048563190173095634,0.048563190173095634
ShareX,Block,type 3,csharp,Traditional,15128,112019,0.135048518554888,0.135048518554888
ShareX,Function,type 1,csharp,Traditional,1123,112019,0.010025085030218088,0.010025085030218088
ShareX,Function,type 2,csharp,Traditional,3187,112019,0.028450530713539667,0.028450530713539667
ShareX,Function,type 3,csharp,Traditional,6891,112019,0.06151634990492684,0.06151634990492684
SharpNet,Block,type 1,csharp,Deep Learning,142,27593,0.0051462327401877285,0.0051462327401877285
SharpNet,Block,type 2,csharp,Deep Learning,815,27593,0.029536476642626753,0.029536476642626753
SharpNet,Block,type 3,csharp,Deep Learning,2359,27593,0.08549269742325952,0.08549269742325952
SharpNet,Function,type 1,csharp,Deep Learning,34,27593,0.0012321965715942449,0.0012321965715942449
SharpNet,Function,type 2,csharp,Deep Learning,602,27593,0.02181712753234516,0.02181712753234516
SharpNet,Function,type 3,csharp,Deep Learning,1326,27593,0.04805566629217555,0.04805566629217555
SiaNet,Block,type 1,csharp,Deep Learning,43928,248467,0.17679611376963542,0.17679611376963542
SiaNet,Block,type 2,csharp,Deep Learning,32867,248467,0.1322791356598663,0.1322791356598663
SiaNet,Block,type 3,csharp,Deep Learning,109019,248467,0.43876651627781554,0.43876651627781554
SiaNet,Function,type 1,csharp,Deep Learning,36147,248467,0.14548008387431732,0.14548008387431732
SiaNet,Function,type 2,csharp,Deep Learning,30947,248467,0.12455175133921205,0.12455175133921205
SiaNet,Function,type 3,csharp,Deep Learning,94554,248467,0.38054952971621986,0.38054952971621986
TensorShader,Block,type 1,csharp,Deep Learning,5867,149199,0.039323319861393174,0.039323319861393174
TensorShader,Block,type 2,csharp,Deep Learning,25683,149199,0.17213922345324031,0.17213922345324031
TensorShader,Block,type 3,csharp,Deep Learning,62495,149199,0.41887009966554734,0.41887009966554734
TensorShader,Function,type 1,csharp,Deep Learning,2923,149199,0.01959128412388823,0.01959128412388823
TensorShader,Function,type 2,csharp,Deep Learning,20040,149199,0.13431725413709208,0.13431725413709208
TensorShader,Function,type 3,csharp,Deep Learning,42397,149199,0.28416410297656153,0.28416410297656153
Vortex,Block,type 1,csharp,Deep Learning,274,5769,0.04749523314265904,0.04749523314265904
Vortex,Block,type 2,csharp,Deep Learning,817,5769,0.14161899809325706,0.14161899809325706
Vortex,Block,type 3,csharp,Deep Learning,2459,5769,0.42624371641532327,0.42624371641532327
Vortex,Function,type 1,csharp,Deep Learning,87,5769,0.015080603224128965,0.015080603224128965
Vortex,Function,type 2,csharp,Deep Learning,791,5769,0.13711215115271277,0.13711215115271277
Vortex,Function,type 3,csharp,Deep Learning,2314,5769,0.4011093777084417,0.4011093777084417
aspnetboilerplate,Block,type 1,csharp,Traditional,6490,109493,0.05927319554674728,0.05927319554674728
aspnetboilerplate,Block,type 2,csharp,Traditional,7929,109493,0.07241558821111851,0.07241558821111851
aspnetboilerplate,Block,type 3,csharp,Traditional,26887,109493,0.24555907683596212,0.24555907683596212
aspnetboilerplate,Function,type 1,csharp,Traditional,3315,109493,0.030275908048916368,0.030275908048916368
aspnetboilerplate,Function,type 2,csharp,Traditional,5482,109493,0.05006712757893199,0.05006712757893199
aspnetboilerplate,Function,type 3,csharp,Traditional,15980,109493,0.14594540290246866,0.14594540290246866
deeplearning4j,Block,type 1,java,Deep Learning,35071,526195,0.0666501962200325,0.0666501962200325
deeplearning4j,Block,type 2,java,Deep Learning,39527,526195,0.07511853970486226,0.07511853970486226
deeplearning4j,Block,type 3,java,Deep Learning,129317,526195,0.24575870162202226,0.24575870162202226
deeplearning4j,Function,type 1,java,Deep Learning,14017,526195,0.0266384135159019,0.0266384135159019
deeplearning4j,Function,type 2,java,Deep Learning,30610,526195,0.058172350554452246,0.058172350554452246
deeplearning4j,Function,type 3,java,Deep Learning,87317,526195,0.16594038331797148,0.16594038331797148
djl,Block,type 1,java,Deep Learning,2255,74161,0.030406817599546932,0.030406817599546932
djl,Block,type 2,java,Deep Learning,3069,74161,0.04138293712328582,0.04138293712328582
djl,Block,type 3,java,Deep Learning,12831,74161,0.17301546635023798,0.17301546635023798
djl,Function,type 1,java,Deep Learning,1002,74161,0.013511144671727728,0.013511144671727728
djl,Function,type 2,java,Deep Learning,2094,74161,0.028235865212173514,0.028235865212173514
djl,Function,type 3,java,Deep Learning,9125,74161,0.12304310891169212,0.12304310891169212
dubbo,Function,type 1,java,Traditional,13175,174064,0.0756905506020774,0.0756905506020774
dubbo,Function,type 2,java,Traditional,15789,174064,0.09070801544259582,0.09070801544259582
dubbo,Function,type 3,java,Traditional,28405,174064,0.16318710359408034,0.16318710359408034
efcore,Block,type 1,csharp,Traditional,38682,691019,0.05597820030997701,0.05597820030997701
efcore,Block,type 2,csharp,Traditional,74469,691019,0.10776693549670849,0.10776693549670849
efcore,Block,type 3,csharp,Traditional,198615,691019,0.287423355942456,0.287423355942456
efcore,Function,type 1,csharp,Traditional,22478,691019,0.032528772725496695,0.032528772725496695
efcore,Function,type 2,csharp,Traditional,64519,691019,0.09336791028900797,0.09336791028900797
efcore,Function,type 3,csharp,Traditional,165414,691019,0.23937692017151482,0.23937692017151482
framework,Block,type 1,java,Traditional,31654,437134,0.07241257829407001,0.07241257829407001
framework,Block,type 2,java,Traditional,22263,437134,0.050929463276706916,0.050929463276706916
framework,Block,type 3,java,Traditional,79486,437134,0.18183440318071803,0.18183440318071803
framework,Function,type 1,java,Traditional,24808,437134,0.056751476663906265,0.056751476663906265
framework,Function,type 2,java,Traditional,15231,437134,0.03484286282924687,0.03484286282924687
framework,Function,type 3,java,Traditional,52408,437134,0.11989001084335696,0.11989001084335696
jellyfin,Block,type 1,csharp,Traditional,6152,150776,0.040802249694911655,0.040802249694911655
jellyfin,Block,type 2,csharp,Traditional,7434,150776,0.04930492916644559,0.04930492916644559
jellyfin,Block,type 3,csharp,Traditional,27453,150776,0.18207804955695867,0.18207804955695867
jellyfin,Function,type 1,csharp,Traditional,873,150776,0.005790046161192762,0.005790046161192762
jellyfin,Function,type 2,csharp,Traditional,3079,150776,0.020421021913301852,0.020421021913301852
jellyfin,Function,type 3,csharp,Traditional,13684,150776,0.09075714967899401,0.09075714967899401
keras-sharp,Block,type 1,csharp,Deep Learning,216,10751,0.020091154311226864,0.020091154311226864
keras-sharp,Block,type 2,csharp,Deep Learning,498,10751,0.04632127243977304,0.04632127243977304
keras-sharp,Block,type 3,csharp,Deep Learning,1350,10751,0.1255697144451679,0.1255697144451679
keras-sharp,Function,type 2,csharp,Deep Learning,284,10751,0.026416147335131614,0.026416147335131614
keras-sharp,Function,type 3,csharp,Deep Learning,756,10751,0.07031904008929402,0.07031904008929402
knime-deeplearning,Block,type 1,java,Deep Learning,5072,49445,0.10257862271210436,0.10257862271210436
knime-deeplearning,Block,type 2,java,Deep Learning,4290,49445,0.0867630700778643,0.0867630700778643
knime-deeplearning,Block,type 3,java,Deep Learning,10935,49445,0.22115481848518556,0.22115481848518556
knime-deeplearning,Function,type 1,java,Deep Learning,4249,49445,0.08593386591161897,0.08593386591161897
knime-deeplearning,Function,type 2,java,Deep Learning,3312,49445,0.0669835170391344,0.0669835170391344
knime-deeplearning,Function,type 3,java,Deep Learning,8632,49445,0.17457781373242998,0.17457781373242998
neuralnetworks,Block,type 1,java,Deep Learning,13961,43902,0.3180037355929115,0.3180037355929115
neuralnetworks,Block,type 2,java,Deep Learning,27605,43902,0.6287868434239898,0.6287868434239898
neuralnetworks,Block,type 3,java,Deep Learning,50678,43902,1.1543437656598787,1.1543437656598787
neuralnetworks,Function,type 1,java,Deep Learning,7613,43902,0.17340895631178535,0.17340895631178535
neuralnetworks,Function,type 2,java,Deep Learning,23432,43902,0.5337342262311512,0.5337342262311512
neuralnetworks,Function,type 3,java,Deep Learning,40735,43902,0.9278620563983417,0.9278620563983417
okhttp,Block,type 1,java,Traditional,1486,37217,0.03992798989709004,0.03992798989709004
okhttp,Block,type 2,java,Traditional,1076,37217,0.028911518929521457,0.028911518929521457
okhttp,Block,type 3,java,Traditional,6990,37217,0.18781739527635222,0.18781739527635222
okhttp,Function,type 1,java,Traditional,1113,37217,0.02990568826074106,0.02990568826074106
okhttp,Function,type 2,java,Traditional,1234,37217,0.033156890668243004,0.033156890668243004
okhttp,Function,type 3,java,Traditional,5662,37217,0.1521347771179837,0.1521347771179837
retrofit,Block,type 1,java,Traditional,5112,26513,0.19281107381284654,0.19281107381284654
retrofit,Block,type 2,java,Traditional,5455,26513,0.20574812356202618,0.20574812356202618
retrofit,Block,type 3,java,Traditional,12167,26513,0.45890695130690606,0.45890695130690606
retrofit,Function,type 1,java,Traditional,4617,26513,0.1741409874401237,0.1741409874401237
retrofit,Function,type 2,java,Traditional,4885,26513,0.1842492362237393,0.1842492362237393
retrofit,Function,type 3,java,Traditional,10773,26513,0.406328970693622,0.406328970693622
shadowsocks-windows,Block,type 2,csharp,Traditional,201,9111,0.02206124464932499,0.02206124464932499
shadowsocks-windows,Block,type 3,csharp,Traditional,733,9111,0.08045220063659313,0.08045220063659313
shadowsocks-windows,Function,type 2,csharp,Traditional,126,9111,0.01382943694435298,0.01382943694435298
shadowsocks-windows,Function,type 3,csharp,Traditional,295,9111,0.03237844363955658,0.03237844363955658
spring-framework,Block,type 1,java,Traditional,31079,699741,0.04441500498041418,0.04441500498041418
spring-framework,Block,type 2,java,Traditional,39506,699741,0.056458032329104624,0.056458032329104624
spring-framework,Block,type 3,java,Traditional,141625,699741,0.20239631520805554,0.20239631520805554
spring-framework,Function,type 1,java,Traditional,21681,699741,0.030984321341753593,0.030984321341753593
spring-framework,Function,type 2,java,Traditional,30200,699741,0.04315882590844327,0.04315882590844327
spring-framework,Function,type 3,java,Traditional,97075,699741,0.13872990149212353,0.13872990149212353
